"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"","","","","/項目 コード","A1101","A161001","A6108","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103","#A01202","#A03504","#A03505","#A03506","#B01301"
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","A161001_未婚者割合（15歳以上人口）【％】","A6108_昼夜間人口比率【％】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】","#A01202_可住地面積１km2当たり人口密度【人】","#A03504_15歳未満人口割合【％】","#A03505_15～64歳人口割合【％】","#A03506_65歳以上人口割合【％】","#B01301_可住地面積割合【％】"
"2023100000","2023年度","27109","大阪府 大阪市 天王寺区","","***","***","***","484","484","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27111","大阪府 大阪市 浪速区","","***","***","***","439","439","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27113","大阪府 大阪市 西淀川区","","***","***","***","1,421","1,421","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27114","大阪府 大阪市 東淀川区","","***","***","***","1,327","1,327","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27115","大阪府 大阪市 東成区","","***","***","***","454","454","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27116","大阪府 大阪市 生野区","","***","***","***","837","837","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27117","大阪府 大阪市 旭区","","***","***","***","632","632","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27118","大阪府 大阪市 城東区","","***","***","***","838","838","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27119","大阪府 大阪市 阿倍野区","","***","***","***","598","598","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27120","大阪府 大阪市 住吉区","","***","***","***","940","940","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27121","大阪府 大阪市 東住吉区","","***","***","***","975","975","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27122","大阪府 大阪市 西成区","","***","***","***","737","737","0","***","***","***","***","***","***","***","***","***","100.0"
"2023100000","2023年度","27123","大阪府 大阪市 淀川区","","***","***","***","1,264","1,264","0","***","***","***","***","***","***","***","***","***","100.0"
